,flags,instruction,category,intent,response,tokens,chatgpt_class,correct
65,BKL,correct information on {{Account Category}} account,ACCOUNT,edit_account,"How great it is to see your attention to detail in correcting the information on your {{Account Category}} account!my goal is to ensure that your account is up-to-date and accurate. To proceed with correcting the information, I recommend logging into your {{Online Company Portal Info}} account and navigating to the account settings section. From there, you should be able to make the necessary adjustments to your account details. If you encounter any difficulties or have specific questions, please don't hesitate to reach out to our dedicated customer support team, available {{Customer Support Hours}} at {{Customer Support Phone Number}} or through the Live Chat on our website at {{Website URL}}. Together, we'll make sure your {{Account Category}} account reflects the correct information.",82.0,ACCOUNT,True
66,BILM,where do I download the invoices from {{Person Name}}?,INVOICE,get_invoice,"Sure! I understand your need to access and download the invoices from {{Client Name}}. To download the invoices, please follow these steps:

1. Log in to your account on our website.
2. Navigate to the ""Billing"" or ""Invoices"" section.
3. Look for the option to download or view your invoices.
4. Select the specific invoice(s) you want to download.
5. Click on the ""Download"" button or link provided.

If you encounter any difficulties or need further assistance, please don't hesitate to let me know. I'm here to help!",86.0,INVOICE,True
67,BILM,where do I demand compensations?,REFUND,get_refund,"I'm following your question about where to demand compensations. To initiate the process, I recommend reaching out to our customer support team. They will be more than happy to guide you through the necessary steps and provide the assistance you need. You can contact our customer support team through various channels such as phone, email, or live chat. Our dedicated representatives will be able to address your concerns and help you with the compensation request. Rest assured, we are committed to ensuring your satisfaction throughout this process. Don't hesitate to reach out to us for any further assistance.",81.0,CONTACT,False
68,BKLZ,clsoe premium account,ACCOUNT,delete_account,"Thank you for letting us know that you would like to close your premium account. I understand that this is an important decision for you, and I'm here to assist you with the process. To cancel your premium account, please follow these steps:

1. Log in to your account on our website.
2. Navigate to the account settings section.
3. Look for the ""Manage Subscription"" or ""Cancel Subscription"" option.
4. Follow the prompts to confirm the cancellation.

If you encounter any difficulties or have any questions during the process, please don't hesitate to reach out to our customer support team. They are available 24/7 at {{Customer Support Phone Number}} or through the Live Chat on our website at {{Website URL}}. It's important to us that you have a smooth experience with account cancellation, and we'll do everything we can to assist you.",78.0,CANCEL,False
69,BLQZ,i dont knowwhat to do to submit some feedback for a product,FEEDBACK,review,"I'm here to guide you on how to submit feedback for a product. One of the most common ways to do so is by visiting our website and navigating to the product's page. There, you'll often find a section or tab specifically designated for customer reviews. You can share your valuable feedback by writing a review or rating the product based on your experience. Alternatively, you may also have the option to provide feedback through a customer support channel, such as email or a live chat feature. Our team will be more than happy to assist you in providing feedback and addressing any concerns you may have. Let me know if you need further assistance with this process!",90.0,CONTACT,False
70,BMQ,wanna know about the delivery period,DELIVERY,delivery_period,"We understand your desire for information about the delivery period. To provide you with accurate details, may I kindly ask for the {{Tracking Number}} or {{Order Number}}? With this information, we can give you an estimated delivery date and keep you informed every step of the way. Your satisfaction is our priority, and we appreciate your patience.",82.0,DELIVERY,True
71,BLQZ,i need assistanceto chat with a live agent,CONTACT,contact_human_agent,"It's great to hear from you! I can see that you need assistance with chatting with a live agent. Our dedicated team of live agents is available to help you. To initiate a chat with a live agent, please click on the live chat option on our website. It will connect you directly to a knowledgeable representative who will be happy to assist you with any questions or concerns you may have. Remember, we're here to support you every step of the way!",85.0,CONTACT,True
72,BK,getting invoice from last month,INVOICE,get_invoice,"I'm picking up what you're putting down, your need to retrieve the invoice from last month. Allow me a moment to fetch that specific invoice for you. While I gather the details, please feel free to let me know if there's anything else I can assist you with. I'm here to ensure your complete satisfaction.",81.0,INVOICE,True
73,BQZ,need to create an {{Account Category}} account,ACCOUNT,create_account,"I'm glad that you've chosen to create a {{Account Category}} account with us! It's a great opportunity to explore our platform and experience the benefits it offers. To get started, I'll need a few details from you. Could you please provide your full name, email address, and a username of your choice? Once I have this information, I will guide you through the account creation process step by step, ensuring that you have all the necessary information. Rest assured, your privacy and security are of utmost importance to us, and we will handle your personal information with the utmost care. Let's embark on this journey together and make the most out of your {{Account Category}} account!",83.0,ACCOUNT,True
74,BEQZ,i do not know wnat i have to do to switch to the pro account,ACCOUNT,switch_account,"No worries! I'm here to support you in switching to the {{Account Type}} account. Let me guide you through the process step by step:

1. Access Your Account: Begin by logging into our platform using your existing credentials.
2. Account Settings: Once you're logged in, navigate to the ""Account Settings"" section of your profile.
3. Switching to {{Account Type}}: Within the ""Account Settings"" section, look for an option labeled ""Switch Account Type"" or ""Upgrade to {{Account Type}}.""
4. Select {{Account Type}} Account: Choose the ""{{Account Type}} Account"" option from the list of available account types.
5. Confirmation: Follow the on-screen prompts to confirm your decision and complete the switch to the {{Account Type}} account.

If you encounter any difficulties or have any additional questions, feel free to reach out. We are dedicated to providing you with a smooth transition and ensuring that you maximize the benefits of your {{Account Type}} account.",94.0,ACCOUNT,True
75,BL,I don't know what I have to do to look for my invoice #12588,INVOICE,check_invoice,"We're all ears! I'm tuned into the idea that you're unsure about the steps to take in order to find your invoice with the number #{{Invoice Number}}. Don't worry, I'm here to assist you. To locate your invoice, you can try accessing your account on our website or contacting our customer support team. They can guide you through the process and provide you with the necessary information. Rest assured, we'll make sure you have all the assistance you need to find your invoice successfully.",93.0,INVOICE,True
76,BIL,where can I check the early termination penalty?,CANCEL,check_cancellation_fee,"To find information about the early termination penalty, you can visit our website and go to the ""Terms and Conditions"" section. It should provide you with all the details regarding the penalty fees. If you have any further questions, feel free to reach out to our customer service team for assistance.",85.0,CANCEL,True
77,BLNQ,i can no longer afford purchase {{Order Number}},ORDER,cancel_order,"I'm sorry to hear that you're in a situation where you can no longer afford your purchase with order number {{Order Number}}. We understand that unexpected financial circumstances can arise, and we're here to assist you. To help address your concern, there are a few options available:

1. **Delaying the Payment**: If your payment hasn't processed yet, there might be a chance to delay the payment or put it on hold for a certain period. This could provide you with the flexibility you need to manage your finances.

2. **Refund or Return Process**: If your purchase has already been processed and delivered, you may explore options for returning the product for a refund. Our return policy may have specific conditions and timeframes, so it's important to review those details to ensure eligibility.

3. **Payment Plan or Installments**: Depending on the type of purchase and the company's policies, you might have the option to convert the payment into installments or set up a payment plan that suits your current financial situation.

However, please keep in mind that different vendors and types of purchases have varying policies and restrictions. To provide you with the most accurate and personalized solution, I kindly request you to reach out to our dedicated customer support team. They'll review your specific case, guide you through the available options, and assist you in finding the best resolution.

You can contact our customer support team during {{Customer Support Hours}} at {{Customer Support Phone Number}} or through our Live Chat on our website at {{Website URL}}. We genuinely appreciate your understanding, and we're committed to helping you find a suitable solution during this challenging time.",85.0,CANCEL,False
78,BIL,is there a method to leave a review for a product?,FEEDBACK,review,"I'm on it! We appreciate your interest in leaving a review for our product. Leaving a review allows you to share your experience and insights, helping other customers make informed decisions. To leave a review, you can visit our website and navigate to the product's page. There, you'll find an option to leave a review and rate the product. Your feedback is highly valuable to us, and we look forward to hearing about your experience with our product. If you have any further questions or need assistance with the review process, feel free to let me know!",89.0,CONTACT,False
79,BL,help to check in which cases can I request my money back,REFUND,check_refund_policy,"I'm on it! It's so important to have a clear understanding of the situations where you can request a refund. Let me provide you with a breakdown of our refund policy:

1. **Product/Service Defect:** If you receive a product or service that is defective or doesn't meet your expectations, you can certainly request a refund.
2. **Cancellation within Grace Period:** If you change your mind and decide to cancel your purchase within the specified grace period, you should be eligible for a refund.
3. **Unauthorized Charges:** If you notice any unfamiliar charges on your account that you didn't authorize, please let us know, and we will investigate the matter and assist you accordingly.
4. **Event Cancellation:** In the unfortunate event that a scheduled event is canceled and not rescheduled, you can generally request a refund for the tickets or participation fee.
5. **Duplicate Charges:** If you have been charged multiple times for the same item or service, reaching out to us will allow us to rectify the situation promptly and issue a refund if necessary.
6. **Non-receipt of Goods/Services:** If you haven't received the goods or services you paid for within the expected timeframe, please notify us, as you may qualify for a refund.

I hope this overview clarifies the situations where you can request a refund. However, I do recommend reviewing the full terms and conditions for complete information regarding our refund policy. If you have any specific concern or need further assistance, please provide additional details, such as your order number or any relevant information, and I'll be more than happy to assist you further.",90.0,REFUND,True
80,BELZ,I cannot sign up to your corporate newsledtter,SUBSCRIPTION,newsletter_subscription,"I'm sorry to hear that you're experiencing difficulties signing up for our corporate newsletter. We strive to make the process as smooth as possible, and I would be more than happy to assist you in resolving this issue. Could you please provide me with the details of the problem you encountered during the sign-up process? This information will help us identify any potential technical issues and find a swift solution for you.",85.0,CONTACT,False
81,BLP,I would like to know about a delivery address modification,SHIPPING,change_shipping_address,"Indeed! I can provide assistance with modifying your delivery address. To proceed, please provide me with your order details including the order number and the current address you would like to update.",87.0,DELIVERY,False
82,BLQ,i want help to check ur reimbursement policy,REFUND,check_refund_policy,"I'm happy to help! I understand your desire to gain clarity on our reimbursement policy. Our reimbursement policy outlines the scenarios in which you may be eligible for a refund. Let me provide you with an overview:

1. **Product/Service Defect:** If the product or service you purchased has a defect, doesn't align with its description, or fails to meet your expectations, you may be eligible for a reimbursement.
2. **Cancellation within Grace Period:** If you change your mind about a purchase and decide to cancel within the specified grace period, you should be eligible for a reimbursement.
3. **Unauthorized Charges:** If you notice any unfamiliar charges on your account that you didn't authorize, please inform us immediately. We will investigate the matter and assist you in obtaining a reimbursement if necessary.
4. **Event Cancellation:** If you have purchased tickets for an event that gets canceled without a rescheduled date, you are typically entitled to a refund for your tickets.
5. **Duplicate Charges:** In the event of duplicate charges for the same item, please reach out to us. We will rectify the situation and ensure you receive a reimbursement promptly.
6. **Non-receipt of Goods:** If you haven't received the product you ordered within the expected timeframe, please let us know. We will review the situation and arrange for a reimbursement if required.

These are some common situations where you may be eligible for a reimbursement. However, it's important to note that each case is unique, so I encourage you to contact our customer support team with the specific details of your situation. They will provide you with personalized assistance and guide you through the reimbursement process.

Please remember to review our full reimbursement policy on our website for more detailed information. Is there anything else I can assist you with today?""",85.0,REFUND,True
83,BCELMW,"I cannot pay, I want to report bloody problems with payment",PAYMENT,payment_issue,"I'm sorry to hear that you're experiencing such frustrating problems with your payment. Your dissatisfaction is truly important to us, and we're committed to addressing this issue head-on. To better assist you, could you kindly provide more details about the specific problem you're encountering? Your feedback will help us understand the root cause of the issue and strive for a swift resolution. Thank you for bringing this to our attention, and we appreciate your patience as we work together to resolve the payment problem.",89.0,PAYMENT,True
84,BIL,how soon can I expect my delivery?,DELIVERY,delivery_period,"We completely understand your eagerness to receive your delivery and we are here to assist you with the estimated arrival time. To provide you with the most accurate information, could you please provide us with the {{Tracking Number}} or {{Order Number}}? With that information, we will be able to check the status of your delivery and give you a precise estimate. Your patience is greatly appreciated as we work to provide you with the best possible service.",83.0,DELIVERY,True
85,BILM,can you help me to check what shipment methods I have?,DELIVERY,delivery_options,"Absolutely! I'm here to assist you in exploring the various shipment methods available to you. Let's delve into the world of shipping options together!

1. Standard Shipping: This is the go-to choice for many customers, offering reliable delivery within {{Date Range}} business days.
2. Expedited Shipping: If you're in a bit more of a hurry, our expedited option ensures your items arrive in {{Date Range}} business days.
3. Overnight Shipping: Need it ASAP? Our overnight shipping service guarantees delivery the next business day.
4. In-Store Pickup: For the ultimate convenience, you can skip the wait and collect your items personally from our {{Store Location}}.

Each shipping method has its unique perks. Now, based on your preferences and requirements, which option resonates with you the most? Let me know, and I'll be here to provide any further assistance or guidance you may need!",89.0,DELIVERY,True
86,BLM,I want to check what shipping options are there,DELIVERY,delivery_options,"Ah, an explorer in search of the perfect shipping pathway! Let's unravel the varied shipping options available to you:

1. Standard Shipping: The go-to choice for those who appreciate a balance between cost and delivery time, typically arriving within {{Date Range}} business days.
2. Expedited Shipping: The speedier route for time-sensitive deliveries, ensuring your items reach you within {{Date Range}} business days.
3. Overnight Shipping: Perfect for urgent needs, guaranteeing next business day delivery.
4. In-Store Pickup: If you prefer the convenience of local collection, our {{Store Location}} are ready to serve you.

Take a moment to reflect on your previous choices—what shipping option resonated most with you? As you mull over your preferences, know that I'm here to assist you in navigating the seas of shipping options. Together, we can make your journey a seamless one!",86.0,DELIVERY,True
87,BKL,error opening user profile,ACCOUNT,registration_problems,"Thank you for bringing the error you encountered while trying to open your user profile to our attention. We understand how frustrating it can be when technical issues hinder your progress. Rest assured, we are fully committed to resolving this issue for you. To better understand the situation and assist you effectively, could you please provide us with more details about the error message or any specific steps you took before encountering this problem? We appreciate your cooperation in helping us identify and fix the issue as quickly as possible.",79.0,ACCOUNT,True
88,BKLM,inform of problems with payments,PAYMENT,payment_issue,"I'm here to assist you in reporting any problems or issues you're facing with your payments. To ensure that we can address your concerns effectively, please provide us with specific details about the problem you're experiencing. This could include any error messages, unsuccessful transactions, or any other information that will help us investigate and resolve the issue promptly. Your feedback is vital, and we appreciate your cooperation in helping us improve our payment system. Rest assured, our dedicated support team is working diligently to assist you throughout this process. Thank you for reaching out to us.",81.0,PAYMENT,True
89,BIL,how to set up my secondary shipping address?,SHIPPING,set_up_shipping_address,"Sure! I'm here to assist you in setting up your secondary shipping address. Follow these steps to get it done smoothly:

1. Log in to your account on our website or app.
2. Navigate to the ""Account"" or ""Profile"" section.
3. Look for the ""Shipping Addresses"" or similar option.
4. Click on ""Add a New Address"" or ""Edit Shipping Addresses"".
5. Fill in the necessary details for your secondary shipping address, such as the recipient's name, address line 1 and line 2, city, state, ZIP code, and any other required information.
6. Double-check that all the entered information is accurate.
7. Save the changes or confirm the new address.

If you encounter any difficulties or have any questions while setting up your secondary shipping address, please don't hesitate to let me know. I'm here to provide further assistance and ensure a smooth process for you!",85.0,CONTACT,False
90,BILMQ,is it possible to get rebates of my money,REFUND,get_refund,"I grasp your desire to receive rebates for your money. We value your satisfaction as our customer and we strive to provide the best possible service. To assist you with this request, I would need some additional information. Could you please provide me with details about the specific purchase or transaction for which you are seeking rebates? This will help me determine the eligibility and process for obtaining the rebates. Rest assured, we are here to support you throughout the process, and we will do our best to ensure a satisfactory resolution.",86.0,REFUND,True
91,BLM,I am trying to download my bills from {{Person Name}},INVOICE,get_invoice,"I'm with you, your need to download your bills from {{Salutation}} {{Client Last Name}}. To download your bills, you can follow these steps: 
1. Log in to your account on our website.
2. Navigate to the ""Billing"" section.
3. Look for the option to ""Download Invoices"" or ""View Bills"".
4. Select the desired time period or specific invoices you want to download.
5. Click on the ""Download"" button or the appropriate link.
If you encounter any difficulties or have further questions, feel free to let me know. I'll be here to assist you every step of the way!",87.0,INVOICE,True
92,B,I don't know what to do to track the refund,REFUND,track_refund,"I grasp that you're unsure about how to track your refund. Tracking your refund is an important step to ensure its progress. To provide accurate guidance, could you please let me know if you made the purchase online or in-store? This information will help me assist you further in obtaining the necessary details to track your refund effectively.",87.0,REFUND,True
93,BL,help checking in which situations can I ask for a refund,REFUND,check_refund_policy,"Of course! I understand your need to verify the specific situations in which you can request a refund. Here is a breakdown of the common situations where you may be eligible for a refund:

1. **Product/Service Defect:** If the product or service you received is defective or does not meet the promised specifications, you usually have the right to request a refund.
2. **Cancellation within Grace Period:** In case you change your mind or no longer require the product or service, canceling within the specified grace period often entitles you to receive a refund.
3. **Unauthorized Charges:** If you notice any charges on your account that you did not authorize or are unfamiliar with, please reach out to us immediately. We will investigate the charges and provide assistance accordingly.
4. **Event Cancellation:** If you purchased tickets for an event that gets canceled and is not rescheduled, you generally have the option to request a refund.
5. **Duplicate Charges:** If you have been charged multiple times for the same item or service, please notify us, and we will rectify the situation and process a refund if appropriate.
6. **Delivery Issues:** If you have not received the ordered product or service within the expected delivery time frame or if the item was not delivered at all, you may be eligible for a refund.

Please keep in mind that these are general situations, and specific refund policies may vary depending on the vendor or service provider. It's always a good idea to review the terms and conditions or contact the respective party for more detailed information. If you have any specific questions or if there's a particular order you'd like me to look into, please provide the necessary details, such as the order number or relevant information, and I'll be glad to assist you further.

Is there anything else I can help you with?",89.0,REFUND,True
94,BLMQ,I'm trying to notify of errors with online payments,PAYMENT,payment_issue,"Thank you for bringing this to our attention. I understand how frustrating it can be to encounter errors while making online payments. Rest assured, we're here to assist you in resolving these issues promptly and efficiently. To better assist you, could you please provide some specific details regarding the errors you're encountering? This will enable us to investigate the matter further and find a suitable solution for you. We appreciate your patience and cooperation in this matter.",86.0,PAYMENT,True
95,BEL,I do not know what I have to do to correct my address,SHIPPING,change_shipping_address,"No worries! I can guide you through the process of correcting your address. To update your shipping address, please follow these steps:

1. Log in to your account on our website.
2. Go to your account settings.
3. Look for the ""Shipping Address"" section.
4. Click on the ""Edit"" option next to your current address.
5. Enter the correct address details.
6. Review the new address to ensure accuracy.
7. Save the changes.

If you encounter any difficulties or have any further questions, feel free to reach out to our customer support team. We're here to assist you!",91.0,UPDATE,False
96,BELQ,i do not know how to file a customer complaint,FEEDBACK,complaint,I perceive that you are unsure about how to file a customer complaint. I apologize for any frustration or inconvenience caused. Filing a complaint is an essential process as it helps us improve our services and attend to any issues you may have encountered. Allow me to guide you through the steps to submit your complaint effectively. Could you please provide me with some more details about the nature of your complaint so that I can assist you accordingly?,87.0,CONTACT,False
97,BEL,I do not know what I need to do to get my bill #37777,INVOICE,get_invoice,"I've got that you're unsure about the steps to take in order to access your bill with number {{Invoice Number}}. Don't worry, I'm here to guide you through the process. To retrieve your bill, you can log in to your account on our website and navigate to the ""Billing"" or ""Invoices"" section. If you haven't created an account yet, you can provide me with some details, such as your full name and email address, and I'll assist you in creating one. Once you're logged in, you'll be able to view and download your invoice directly from your account. If you encounter any difficulties along the way, please feel free to ask me for further assistance.",93.0,INVOICE,True
98,BL,help me see in what situations can I request reimbursements,REFUND,check_refund_policy,"Sure! I understand your need to have a clear understanding of the situations in which you can request reimbursements. Here's a breakdown of the most common scenarios:

1. **Product/Service Defect:** If the product or service you purchased has a defect or does not meet the described specifications, you are typically eligible for a refund.
2. **Cancellation within Grace Period:** Should you change your mind and decide to cancel your purchase within the specified grace period, you can usually request a refund.
3. **Unauthorized Charges:** If you find any suspicious or unauthorized charges on your account, we will investigate the issue and assist you in obtaining a refund if necessary.
4. **Event Cancellation:** In the unfortunate event that a scheduled event is canceled and not rescheduled, you are often entitled to a refund for the tickets or registration fees.
5. **Duplicate Charges:** If you notice that you have been charged multiple times for the same item or service, please notify us immediately, and we will rectify the situation and process the refund.
6. **Non-Delivery of Goods:** If you have not received the purchased goods within the expected delivery timeframe, you may be eligible for a refund.

Please keep in mind that refund policies may vary depending on the specific vendor or service provider. It is always recommended to review the terms and conditions or reach out to the respective vendor for a comprehensive understanding of their refund policy. If you have any specific order or concern, please share the relevant details with me, such as the order number or any other information, so that I can assist you further. Your satisfaction is our priority!

Is there anything else I can assist you with?",87.0,REFUND,True
99,BLM,help reporting troubles with online payments,PAYMENT,payment_issue,"I appreciate you reaching out to us for support in reporting troubles with your online payments. We understand that encountering payment issues can be frustrating, but rest assured, we're here to assist you every step of the way. To provide accurate and prompt assistance, could you please provide some additional details about the specific troubles you're facing? By sharing this information, we can take the necessary steps to address the issue and ensure that your payments process smoothly in the future. Thank you for your cooperation and for giving us the opportunity to resolve this matter for you.",82.0,PAYMENT,True
100,BILQ,what do i need to do to remove the {{Account Type}} account,ACCOUNT,delete_account,"I've come to understand that you would like to remove your {{Account Type}} account. Removing your account is a straightforward process, and I'm here to guide you through it. To remove your account, please follow these steps:

1. Log in to your account on our website.
2. Navigate to the account settings or profile section.
3. Look for an option or link that refers to ""Account Deletion"" or ""Close Account.""
4. Click on that option and carefully read any terms or conditions that may appear.
5. Confirm your decision to delete your account.

Please note that deleting your {{Account Type}} account is permanent and irreversible. Make sure to back up any important data or information before proceeding. If you have any other questions or need further assistance, feel {{Account Type}} to let me know.",90.0,CANCEL,False
101,BELQ,i do not know what i need to do to speak to customer service,CONTACT,contact_customer_service,"We appreciate your message! It's clear to me that you're unsure about how to speak to our customer service team. To get in touch with our customer service, you can reach out to us through various channels. You can give us a call at {{Customer Support Phone Number}}, send us an email at {{Customer Support Email}}, or use the live chat feature on our website at {{Website URL}}. Our team is available to assist you and address any concerns you may have. Please don't hesitate to reach out, and we'll gladly help you out.",93.0,CONTACT,True
102,BILM,how can I order some products?,ORDER,place_order,"Thank you for your interest in ordering our products! I'm thrilled to guide you through the process and make it as smooth and enjoyable as possible. To place an order, you can either visit our website or reach out to our customer service team. On our website, simply browse through the products, select the ones you'd like to order, and add them to your cart. Then, proceed to the checkout page, where you can review your order, enter your shipping information, and choose a payment method. If you need any further assistance or have specific questions about the ordering process, our customer service team will be more than happy to help you. They are available {{Customer Support Hours}} at {{Customer Support Phone Number}} or through the Live Chat on our website at {{Website URL}}. We look forward to serving you and fulfilling your order!",82.0,ORDER,True
103,BILS,do you ship to {{Delivery City}}?,DELIVERY,delivery_options,"Unquestionably! We offer shipping to {{Delivery City}}. Whether it's a small package or a larger shipment, we've got you covered. Our delivery options are designed to provide convenience and flexibility. You can choose from our standard shipping, expedited shipping, or even opt for overnight shipping for urgent needs. We want to ensure that your items reach you in a timely manner and in perfect condition. If you have any specific concerns or if there's anything else I can assist you with, please feel free to let me know. Shipping to {{Delivery City}} is effortless with us!",82.0,DELIVERY,True
104,BQ,have a problem with cancelling order {{Order Number}},ORDER,cancel_order,"I can relate that you're facing difficulties with canceling your order with the order number {{Order Number}}. Please allow me to assist you in resolving this issue. Here's what you can do:

1. Sign in to Your Account: Access our platform by logging in to your {{Online Company Portal Info}}.
2. Find Your Order: Once you're logged in, navigate to the '{{Online Order Interaction}}' or '{{Online Order Interaction}}' section.
3. Locate the Specific Order: Look for the order number {{Order Number}} and click on it to access the details.
4. Initiate Cancellation: On the order details page, you should see an option labeled '{{Online Order Interaction}}'. Please select this to proceed.
5. Follow Any Additional Steps: The system may prompt you to provide a reason for cancellation or ask for further confirmation. Kindly complete the necessary steps.

If you encounter any challenges or have more questions during the process, please don't hesitate to reach out to our dedicated support team. You can contact us during {{Customer Support Hours}} at {{Customer Support Phone Number}} or use the Live Chat feature on our {{Website URL}}. Rest assured, we are committed to resolving this matter for you promptly.",85.0,CANCEL,False
105,BLW,I am trying to check your bloody reimbursement policy,REFUND,check_refund_policy,"Positively! I understand your desire to gain clarity on our reimbursement policy. Allow me to provide you with the necessary information. 

Our reimbursement policy covers various situations where you may be eligible for a refund. Here are some common scenarios:

1. **Product/Service Defect:** If the product or service you purchased has a defect or does not meet your expectations, you may be entitled to a refund.

2. **Cancellation within Grace Period:** If you change your mind and decide to cancel your purchase within the provided grace period, you should be eligible for a refund.

3. **Unauthorized Charges:** If you notice any charges on your account that you did not authorize, please inform our customer support team immediately. We will investigate the issue and help you with the refund process.

4. **Event Cancellation:** If you have purchased tickets for an event that gets canceled, you will usually be eligible for a refund. However, the specific terms and conditions may vary depending on the event organizer.

5. **Duplicate Charges:** In case you notice duplicate charges for the same item on your statement, please bring it to our attention. We will resolve the issue and refund the excess amount.

6. **Non-receipt of Goods:** If you haven't received the goods you ordered within the expected delivery timeframe, please contact our support team. We will assist you in verifying the status of your order and arrange a refund if necessary.

Please keep in mind that these are general situations covered by our reimbursement policy. To have a comprehensive understanding of the specific terms and conditions for your purchase, it's always advisable to consult the refund policy provided by the vendor or service provider.

If you have any further questions or concerns regarding our reimbursement policy or a specific purchase, please feel free to provide more details, such as the order number or any relevant information. I'm here to assist you every step of the way.

Is there anything else I can help you with today?",86.0,REFUND,True
106,BLQZ,problem with my  forgotten pin,ACCOUNT,recover_password,"I've picked up that you're experiencing difficulties with your forgotten PIN. It can be frustrating when we can't access our accounts due to forgotten PINs. Don't worry, I'm here to assist you in resolving this issue.

To recover your forgotten PIN, I recommend following these steps:

1. Visit the ""{{Login Page URL}}"" of our platform.
2. Look for the option to reset your PIN, usually labeled as ""{{Forgot PIN}}"" or ""{{Reset PIN}}"".
3. Click on the option and proceed with the necessary verification steps, such as providing your registered email address or answering security questions.
4. Once your identity is verified, you will receive an email with instructions on how to reset your PIN.
5. Follow the instructions provided in the email to set a new PIN for your account.

If you encounter any further issues or have any other concerns, feel free to reach out to me. Remember, I'm here to ensure that your experience with us is smooth and hassle-free. Let's resolve this together!",81.0,ACCOUNT,True
107,BLZ,assistance giving aquick look at invoice #85632,INVOICE,check_invoice,"I understand your need for a quick look at the details of invoice #{{Invoice Number}}. Let me assist you in locating the relevant information swiftly. Could you please provide me with a bit more context or any additional details that might help me in finding this invoice for you? Rest assured, I am here to ensure that you receive the assistance you need efficiently and effectively.",83.0,INVOICE,True
108,BIL,can you tell me about receiving your newsletter?,SUBSCRIPTION,newsletter_subscription,"Positively! I'd be happy to share more information about receiving our newsletter. Subscribing to our newsletter is a fantastic way to stay informed about our latest updates, exclusive promotions, new product releases, and exciting events. By subscribing, you'll have access to valuable content tailored specifically to your interests and preferences. Our newsletters are designed to provide you with useful and relevant information straight to your inbox. You can expect to receive engaging articles, helpful tips, and updates about our products and services.

To subscribe to our newsletter, all you need to do is provide us with your email address. You can do so either by visiting our website and filling out the subscription form, or by reaching out to our customer support team and requesting to be added to our mailing list.

Should you decide to subscribe, I assure you that your privacy is of utmost importance to us. We adhere to strict privacy policies and never share your information with third parties without your consent. You can also unsubscribe at any time if you ever change your mind.

Let me know if there's anything else I can assist you with regarding our newsletter or any other inquiries you may have.",85.0,SUBSCRIPTION,True
109,BLQ,need assistance to see in what cases can i ask for refunds,REFUND,check_refund_policy,"I'm on the same page, your need for assistance in understanding the different cases in which you can request a refund. Here are some common situations where you may be eligible for a refund:

1. **Product/Service Non-Delivery:** If you have made a purchase but haven't received the product or service within the expected time frame, you usually have the right to ask for a refund.

2. **Product/Service Defect:** If the product or service you received is defective or doesn't meet the described specifications, you can typically request a refund.

3. **Cancellation within Grace Period:** Many companies have a grace period within which you can cancel a purchase or subscription and receive a refund.

4. **Unauthorized Charges:** If you see any unauthorized charges on your account or credit card statement, it's important to reach out to us immediately. We will investigate the charges and assist you in getting a refund if they are found to be unauthorized.

5. **Event Cancellation:** If you had purchased tickets for an event that got canceled or postponed, you may be eligible for a refund. However, specific refund policies may vary depending on the event or ticket vendor.

6. **Duplicate or Overcharged Payments:** If you notice that you have been charged multiple times for the same product or service or if you have been overcharged, please contact our customer support. We will rectify the payment discrepancy and process the refund if necessary.

It's important to note that refund policies may vary among different vendors and service providers. Therefore, I recommend reviewing the terms and conditions or reaching out to the specific vendor for more information on their refund policy.

If you have any specific concerns or questions related to a particular order or purchase, please provide me with the relevant details such as the order number or product name, and I'll be happy to assist you further. Your satisfaction is our top priority, and we're here to ensure a seamless refund process for you.

How else may I assist you today?",90.0,REFUND,True
110,BLQ,need help to restore my user profile key,ACCOUNT,recover_password,"I understood, you're seeking assistance in restoring the key to your user profile. Losing access to your profile can be quite distressing, but worry not, as I'm here to guide you on this journey.

To restore your user profile key, please follow these steps:

1. Go to the ""{{Login Page URL}}"" of our platform.
2. Look for the option that reads ""{{Forgot Key}}"" and click on it.
3. You will be prompted to input the email address associated with your user profile.
4. After providing the email address, you will receive an email containing instructions on how to restore your key. Please check your inbox, and don't forget to take a look into your spam or junk folders if necessary.
5. Follow the instructions in the email to regain access to your user profile and restore the key.

If you encounter any difficulties or if the email doesn't arrive within a reasonable timeframe, feel free to reach out to me. I'm here to assist you at every step of the process!",85.0,ACCOUNT,True
111,BL,help me using the {{Account Type}} profile,ACCOUNT,switch_account,"I'll get right on it! I'm excited to assist you in utilizing the remarkable capabilities of our {{Account Type}} profile. Let's make the most of this incredible opportunity together:

1. Sign in: Begin by logging into our platform.
2. Account Settings: Once inside, navigate to your ""{{Settings}}"" section.
3. Upgrade Option: Look for an option labeled ""{{Upgrade Account}}"" or ""{{Account Change}}"" in this section.
4. Select {{Account Type}}: Choose the ""{{Profile Type}}"" option from the available choices.
5. Enjoy the Benefits: Embrace the numerous advantages that come with the {{Account Type}} profile, such as enhanced features, exclusive content, and priority customer support.

If you encounter any challenges or have further questions, please don't hesitate to reach out. Your satisfaction is our utmost priority, and I'm here to ensure your smooth transition to the {{Account Type}} profile. Happy exploring!""",83.0,ACCOUNT,True
